           1      1.3916      1.3916           0
           2     1.39148     1.39154 4.38378e-05
           3     1.39152     1.39153 3.01186e-05
           4     1.39151     1.39153 2.33717e-05
           5     1.39152     1.39152  1.8763e-05
           6     1.39148     1.39152 1.68354e-05
           7     1.39147     1.39151 1.60192e-05
           8     1.39137     1.39149 2.19244e-05
           9     1.39147     1.39149  1.9618e-05
          10     1.39153     1.39149 1.80086e-05
          11     1.39157      1.3915 1.78061e-05
          12     1.39153      1.3915 1.65159e-05
          13     1.39159     1.39151  1.6571e-05
          14      1.3916     1.39152 1.64904e-05
          15      1.3916     1.39152 1.63196e-05
          16      1.3915     1.39152 1.53543e-05
          17     1.39145     1.39152 1.49708e-05
          18      1.3914     1.39151 1.53774e-05
          19      1.3916     1.39152 1.53052e-05
          20     1.39156     1.39152 1.46796e-05
          21      1.3915     1.39152 1.39968e-05
          22     1.39139     1.39151 1.45012e-05
          23     1.39148     1.39151  1.3944e-05
          24     1.39149     1.39151 1.33813e-05
          25     1.39149     1.39151 1.28598e-05
          26     1.39157     1.39151 1.26174e-05
          27     1.39153     1.39151 1.21628e-05
          28     1.39145     1.39151 1.19384e-05
          29     1.39142     1.39151 1.19424e-05
          30     1.39156     1.39151 1.16974e-05
          31     1.39142     1.39151 1.16431e-05
          32     1.39146      1.3915 1.13536e-05
          33     1.39149      1.3915 1.10148e-05
          34     1.39148      1.3915 1.07118e-05
          35     1.39157      1.3915 1.05622e-05
          36     1.39152      1.3915 1.02738e-05
          37     1.39159     1.39151 1.02396e-05
          38     1.39141      1.3915 1.02573e-05
          39     1.39152     1.39151 1.00038e-05
          40     1.39146      1.3915 9.80853e-06
          41     1.39151      1.3915 9.56979e-06
          42     1.39162     1.39151 9.72143e-06
          43     1.39143     1.39151 9.65232e-06
          44     1.39157     1.39151 9.53375e-06
          45     1.39157     1.39151 9.43518e-06
          46     1.39148     1.39151 9.24354e-06
          47      1.3915     1.39151 9.04704e-06
          48     1.39161     1.39151 9.11413e-06
          49     1.39158     1.39151 9.03297e-06
          50     1.39155     1.39151 8.89302e-06
